"","Feature1","Feature2","Correlation"
"66794","TCGA-19-5950-01A-11R-1698-01","TCGA-19-4068-01A-01R-1230-01",0.962676229519489
"113775","TCGA-28-5209-01A-01R-1482-01","TCGA-28-5209-01A-01R-1482-01",1
"105771","TCGA-28-5209-01A-01R-1482-01","TCGA-26-5139-01A-01R-1482-01",0.937063085367066
"110991","TCGA-28-5209-01A-01R-1482-01","TCGA-28-5215-01A-01R-1482-01",0.919047055066573
"114124","TCGA-19-5954-01A-11R-1698-01","TCGA-19-5954-01A-11R-1698-01",1
"120388","TCGA-19-5954-01A-11R-1698-01","TCGA-19-5952-01A-11R-1698-01",0.964707548591367
"109948","TCGA-19-5954-01A-11R-1698-01","TCGA-06-5408-01A-01R-1698-01",0.964211729479373
"114473","TCGA-19-5959-01A-11R-1698-01","TCGA-19-5959-01A-11R-1698-01",1
"113429","TCGA-19-5959-01A-11R-1698-01","TCGA-19-5950-01A-11R-1698-01",0.96226654017571
"98465","TCGA-19-5959-01A-11R-1698-01","TCGA-32-1979-01A-01R-1698-01",0.961203674031758
"114822","TCGA-06-0650-01A-02R-1698-01","TCGA-06-0650-01A-02R-1698-01",1
"34434","TCGA-06-0650-01A-02R-1698-01","TCGA-32-2494-01A-01R-1230-01",0.959963272985761
"119694","TCGA-06-0650-01A-02R-1698-01","TCGA-76-6193-01A-11R-1698-01",0.958791913364336
"115171","TCGA-12-5299-01A-02R-1482-01","TCGA-12-5299-01A-02R-1482-01",1
"112735","TCGA-12-5299-01A-02R-1482-01","TCGA-76-4928-01B-01R-1482-01",0.995679572055904
"102295","TCGA-12-5299-01A-02R-1482-01","TCGA-76-4926-01B-01R-1482-01",0.966596754404518
"115520","TCGA-28-5219-01A-01R-1482-01","TCGA-28-5219-01A-01R-1482-01",1
"117260","TCGA-28-5219-01A-01R-1482-01","TCGA-06-5414-01A-01R-1482-01",0.997232674838133
"112736","TCGA-28-5219-01A-01R-1482-01","TCGA-76-4928-01B-01R-1482-01",0.96661809482932
"115869","TCGA-26-5135-01A-01R-1482-01","TCGA-26-5135-01A-01R-1482-01",1
"108561","TCGA-26-5135-01A-01R-1482-01","TCGA-76-4935-01A-01R-1482-01",0.992448880380902
"32697","TCGA-26-5135-01A-01R-1482-01","TCGA-06-1801-01A-02R-0596-01",0.955429958479652
