,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,-0.7087844,-4.40245,11.7037325,1.9682174,12.43116,3.6837106,11.118571,12.796746,-5.5777483,-9.686132,-3.6081803,-3.4178357,6.8124228,4.379725,-0.11653836,-11.520569,-10.557091,-11.67773,-7.6821566,1.2328104,2.9176729,1.5952666,2.0739694,1.6314728,6.576223,2.130882,-4.090119,-7.2668166,12.550522,-10.980751,-4.324454,-7.097754,-10.358452,-5.205061,-9.332563,-11.723739,9.273645,5.1958003,11.523239,-8.626135,5.477489,-6.6779513,3.6089644,-2.4424422,2.193254,6.323025,-6.0480156,1.8182993,-1.1182708,-7.199475,-6.9339256,4.7841544,-9.501553,-11.438531,1.8355364,-2.2827888,0.543165,6.149687,-7.0037575,-9.167343,-6.6417446,-5.115104,-6.5172734,2.677493,3.593097,3.3372898,-5.701682,-10.035051,-12.764005,-8.114939,-13.877434,-10.787703,11.867791,-9.413409,-11.830689,6.3343534,5.641974,-11.614549,-11.97524,-0.080389746,-12.995121,0.86540323,-7.295725,4.0347047,-10.998601,-11.027781,-6.7400947,-6.160785,-4.1181746,-11.263499,-15.458068,-7.0142994,-7.132321,-11.319113,4.990206,-4.4618697,1.8357539,3.8210502,-9.481525,-4.669285,4.77799,3.228559,5.5769615,3.125831,-9.656719,3.6378012,6.7460284,-10.54652,-3.063176,-5.3348536,-7.538181,-12.59189,-9.8377905,-3.196525,-9.46996,-11.29943,5.129158,-6.1348166,-10.211795,-2.0925448,-1.0830072,-5.4128356,-3.1932836,7.2373996,-6.8277607,-5.4071383,-6.5951633,5.052978
1,-0.23995082,-4.673486,12.743792,1.3507216,13.184487,3.9838684,10.803437,13.139794,-6.3896384,-9.431868,-3.9771247,-3.2684336,6.6950645,4.012499,0.25501403,-11.704412,-9.968959,-11.256664,-7.8390284,1.4019617,2.55977,1.2055029,1.8210536,2.039099,6.903071,1.759348,-3.5008652,-6.9881687,12.702963,-10.442614,-4.5112896,-7.1145015,-11.003155,-5.4115295,-9.867171,-12.463304,9.464211,5.228801,11.899294,-9.005137,5.798581,-6.652262,4.616508,-2.5873036,2.4986825,7.404834,-5.9451065,2.2863324,-0.8875669,-8.261443,-6.6629715,4.581972,-9.420007,-11.641343,2.0569475,-2.7855158,-0.020709453,6.425664,-7.552411,-9.6490965,-6.192446,-5.5375557,-7.1981797,2.2657154,3.0243251,3.534189,-6.109561,-10.011351,-13.178291,-8.129188,-14.317717,-10.617282,12.099401,-8.99599,-12.818512,6.4098544,5.404294,-11.428402,-12.841312,-0.3533799,-12.26296,0.6911669,-7.339222,3.578082,-11.140608,-11.146933,-6.385896,-6.20123,-3.6430295,-11.421245,-16.413372,-6.8864036,-5.7038846,-10.88071,5.1255383,-5.2148433,2.205989,3.9962919,-8.551201,-3.9522371,5.7538657,4.0565767,5.170738,3.0493495,-10.245492,4.540776,6.879125,-11.915536,-3.0141034,-5.2709513,-7.8348393,-14.706319,-11.221608,-2.740209,-10.238431,-11.397406,5.313393,-6.0537114,-11.242552,-1.6431315,-0.5673082,-5.8438544,-3.2583997,7.015179,-6.544814,-4.71301,-7.733797,4.30175
2,-0.73529834,-3.3941133,12.573825,0.7364629,12.062991,4.0591774,10.097778,12.810303,-6.5677505,-9.238776,-4.394987,-2.863996,6.7384753,4.403896,-1.2438257,-10.930589,-10.499029,-11.251886,-6.7854323,1.0021291,2.9954438,2.0770664,1.8114026,1.9289509,6.247007,2.533457,-3.9656093,-7.155013,12.016096,-10.254153,-4.9340744,-6.5051556,-10.591551,-5.192655,-8.0232,-11.1021,9.264733,3.926444,11.708976,-8.379269,6.306618,-5.3995028,3.2555535,-3.7219439,2.7736256,6.0710425,-6.3381143,2.1545057,-1.218155,-7.2332296,-6.134275,3.798818,-9.506621,-11.039358,2.4076028,-2.063199,-0.60130817,7.1544323,-7.4941545,-10.212167,-5.5270805,-4.449895,-6.183067,3.3624449,2.5530758,4.0161333,-5.109696,-9.308088,-12.63306,-8.0067005,-13.203046,-10.654065,11.744027,-9.784369,-11.287465,6.13801,4.545772,-11.248842,-12.3616495,-0.6894967,-12.459319,0.5504527,-7.658711,3.9198303,-10.565666,-10.998032,-6.3173375,-5.248577,-3.7238574,-12.286567,-15.461309,-6.6358447,-5.7951746,-10.438883,5.2299757,-4.6058426,1.1211727,3.1102595,-8.677128,-4.5833817,5.267944,3.1734984,5.626879,3.590962,-8.752378,3.1482775,6.1022696,-11.300419,-2.0075166,-4.994595,-7.973893,-13.537728,-10.512165,-2.9244123,-8.611309,-10.21176,5.2674165,-5.5166216,-10.263679,-0.9360498,-1.9068071,-4.4742317,-3.054196,6.7315054,-6.98131,-4.492346,-6.6512613,4.3480387
3,-0.9184581,-4.463317,12.617721,1.8212229,13.186447,4.765053,11.437236,12.427149,-6.091824,-9.5804825,-4.0583215,-2.3397772,6.5989456,4.791861,-0.040685415,-11.149478,-10.805964,-11.664243,-7.565652,0.94270456,2.5729382,1.6665338,1.9020329,1.3741863,7.1178303,2.0940442,-4.9965296,-7.419757,12.155639,-10.81052,-3.9173293,-7.093591,-10.281163,-4.794245,-9.297661,-11.531466,8.618709,6.079027,11.790804,-9.287193,5.818151,-6.171152,3.8646946,-2.7192986,2.5693333,6.1126347,-5.6536784,2.2439947,-1.2822005,-7.7308965,-6.315255,4.6165276,-9.545062,-10.561606,2.6088822,-2.0418441,-0.15358208,6.8824887,-7.7857065,-9.122957,-6.021741,-5.0363927,-6.468514,2.6405919,3.0977397,3.467096,-5.3981023,-9.4046,-11.992288,-7.8994794,-14.11699,-10.595194,12.193099,-9.174958,-12.083006,6.9397078,5.539458,-11.602777,-12.110859,-0.3660248,-12.638857,1.3272945,-7.5391912,3.9092922,-10.970435,-10.90163,-6.5656714,-5.7707148,-3.1898348,-11.452628,-15.766131,-7.168239,-6.6755486,-11.288922,5.1130986,-4.9595613,1.5059651,3.3834944,-9.256739,-4.355711,4.856369,3.238293,5.457511,3.8652568,-8.80251,3.9246514,7.3312683,-11.29621,-2.4882698,-5.0663157,-8.398736,-13.900785,-10.426486,-2.441242,-9.2221575,-11.470587,5.69945,-6.16532,-10.350003,-1.2448245,-1.4703758,-4.9908032,-2.7648067,7.2970304,-6.447026,-4.7560725,-6.8604736,4.6109996
4,-0.8094724,-4.1676493,12.43705,1.1731002,13.001041,4.1955724,11.309601,13.188388,-5.809525,-9.666945,-4.195732,-2.9037535,6.616449,4.6246686,-0.24158734,-11.6807,-10.834932,-11.936352,-7.5305557,0.813025,2.8146498,1.6366253,2.2340724,1.6347067,7.006722,2.0498397,-4.7132015,-7.11213,12.789093,-10.867752,-4.091047,-6.9173985,-10.801409,-5.2692776,-9.788266,-12.437957,9.032645,5.620794,12.172694,-9.68424,5.822244,-6.268682,4.4340496,-3.2825181,2.3134458,7.001623,-6.2251325,2.5006044,-1.2605658,-7.436871,-6.5550804,4.5039763,-9.274806,-11.262448,2.3385901,-1.9723315,-0.008671719,6.563337,-7.8805447,-10.274066,-6.7562833,-5.4153824,-7.174601,2.4276474,3.6114373,3.4549828,-5.397814,-9.853877,-13.040226,-7.886307,-14.358823,-11.107762,12.238233,-9.255153,-12.434032,6.3454733,5.5395412,-12.028952,-12.5506115,-0.39997798,-12.704679,0.89198476,-7.597028,4.30959,-11.280292,-11.411079,-6.46157,-5.955788,-3.6636481,-12.20922,-16.276262,-7.3247266,-6.5810146,-11.354346,5.095031,-4.8324065,2.1132207,3.7077796,-9.569053,-4.9411983,4.9525,3.5330055,5.479188,3.4323096,-9.710172,3.493765,6.926779,-11.455727,-2.887963,-5.1920795,-8.418252,-14.025745,-11.16679,-3.1491578,-9.710158,-11.537453,5.153012,-6.07029,-11.461616,-1.4369363,-1.3849722,-5.518296,-3.1300611,7.4709735,-6.9594707,-5.037774,-6.9659233,4.7083883
5,-0.9145295,-4.272857,12.577842,1.283143,12.947425,4.425494,11.301248,12.864208,-6.158721,-9.493925,-4.1915007,-2.6564403,6.5180926,4.559888,-0.26683033,-11.363641,-10.882903,-11.709905,-7.44836,0.8267877,2.610916,1.6735065,1.9638066,1.4776682,6.962134,2.0438676,-4.557578,-7.078989,12.434151,-10.656828,-4.109946,-6.91197,-10.568944,-4.8437552,-9.04499,-11.58363,8.796608,5.535278,11.815791,-9.107428,5.8756394,-5.8841543,3.9339526,-2.9730573,2.6869345,6.529929,-6.210768,2.5660777,-1.537029,-7.639487,-6.159981,4.618883,-9.362606,-10.793652,2.250827,-2.2783294,-0.18694553,6.918493,-7.8041654,-9.828823,-5.853828,-5.3501945,-6.561854,3.0186522,3.2494724,3.4974132,-5.339761,-9.612297,-12.490038,-7.8174334,-13.974451,-10.78377,12.073924,-9.279687,-12.154401,6.7038574,5.6087074,-11.716568,-12.358402,-0.41436118,-12.422373,1.0718778,-7.516343,4.019084,-10.844583,-11.04399,-6.4758286,-5.7999163,-3.3831325,-11.898306,-16.049332,-7.1074386,-6.512383,-11.09104,5.0851245,-4.8563404,1.7673191,3.3801355,-9.184036,-4.475164,4.982603,3.3022006,5.5295076,3.6026213,-9.187011,3.665709,7.1645846,-11.736467,-2.7509675,-5.2524934,-8.548074,-14.066657,-10.845107,-2.7139344,-9.479547,-11.461909,5.4958997,-6.0296454,-10.929685,-1.46218,-1.3834945,-5.0141997,-2.9480302,7.1492076,-6.7944903,-4.8097253,-7.084862,4.665506
6,-0.18089145,-4.676178,12.548378,0.7984111,12.929026,4.027173,11.020022,13.1445675,-5.671201,-9.69215,-4.8592596,-3.0260134,7.1453786,4.193909,-0.04931605,-11.932677,-10.242659,-11.71524,-7.9933987,0.56464,2.119911,1.6910543,2.724519,1.8322607,6.6748986,1.4736353,-4.030258,-7.4039807,12.883681,-10.946073,-4.528077,-6.53428,-10.960938,-5.075751,-8.65965,-12.04527,9.147459,5.352783,12.657476,-9.395128,6.103527,-5.9951797,4.155025,-3.2363925,2.270006,6.608161,-6.20352,2.7048159,-0.8355617,-7.643952,-6.538764,4.399744,-9.423563,-11.456494,2.2176206,-2.2553566,-0.011047063,7.082178,-7.8688693,-10.010723,-6.178165,-5.3230987,-7.062548,2.4191747,4.1863184,3.8833413,-5.1539955,-9.461181,-12.922972,-7.233751,-14.78143,-11.440681,11.948722,-8.643185,-12.096441,6.416992,6.3301086,-11.583497,-12.406258,-0.5726182,-13.099078,1.1244507,-7.353862,4.030201,-11.004242,-11.0247965,-6.832395,-6.061394,-2.5473177,-12.953012,-16.169287,-7.229053,-7.0048265,-10.818373,4.446702,-4.005812,1.3799694,3.4291925,-9.167419,-4.3409696,4.882761,3.692825,5.9306493,2.2398083,-9.893851,3.2560349,6.5742135,-12.334001,-2.530934,-5.1222215,-8.65549,-14.225669,-10.904703,-3.01425,-9.70741,-11.94316,5.049354,-6.2358885,-11.661604,-1.7375531,-1.6463532,-5.0009594,-3.5453007,7.329014,-5.9797277,-5.2456336,-7.646104,4.5256886
7,-0.9465345,-4.909668,13.044877,1.1357474,13.612462,4.7549906,11.349251,13.887128,-6.5296464,-9.46059,-4.289028,-2.898046,6.5845675,4.447642,-0.48030585,-11.7714615,-11.312794,-11.994621,-7.8277807,0.80614024,2.2769363,1.8493387,1.940977,1.4361936,6.9164143,1.7545667,-4.49933,-6.9773126,13.168135,-10.692357,-3.9349904,-7.351261,-10.983993,-5.335331,-9.42877,-12.192319,8.434171,5.44718,12.19345,-8.753403,5.2690644,-6.8671045,4.69956,-2.86161,2.7824073,6.0327334,-5.624011,2.6989207,-0.88765866,-7.1807733,-6.9279995,4.7527485,-9.356945,-11.84735,2.1776943,-2.155086,0.3468239,6.4545054,-7.27933,-10.104778,-7.1417913,-4.729525,-6.8159523,2.5644379,3.6230614,3.8427072,-5.881878,-10.135433,-12.753963,-8.201718,-14.716324,-11.320631,12.6889715,-9.503393,-12.411638,6.8632975,5.8529186,-11.476931,-12.182314,-0.24628589,-12.503418,0.47480026,-7.150131,4.211547,-11.382362,-10.968246,-6.3201885,-5.026791,-3.7507012,-11.807423,-16.499304,-7.440256,-6.8248568,-11.225542,4.6517286,-4.7799325,1.8360908,3.6408436,-9.42448,-4.6520023,5.006496,3.642947,5.7060013,3.8676012,-9.51288,4.0544133,7.8506274,-12.118252,-2.5194178,-5.385734,-7.7996407,-14.219418,-11.17688,-3.2425323,-10.431358,-11.636197,5.5544386,-6.006007,-11.328486,-1.5371267,-1.3851391,-5.5711637,-2.4270175,8.008602,-7.032563,-4.4777403,-6.8980064,4.8818026
8,-0.7881961,-4.463427,12.692834,1.074298,13.386603,4.057703,11.722579,13.007855,-6.6134996,-8.746468,-5.035049,-3.3704813,6.1203747,5.2667484,-0.59989023,-12.231384,-11.093463,-13.011979,-7.401494,0.69723046,2.3994825,1.5036539,2.4954417,1.4103895,6.7281117,3.0528634,-4.906126,-7.2621293,11.921257,-11.137981,-3.5191135,-6.6089416,-11.819798,-5.120591,-8.393122,-11.694321,9.245934,6.3494325,12.793658,-9.235825,5.219638,-5.6791787,4.0081787,-3.5188646,2.6018536,7.052975,-5.7725773,1.9358182,-1.0869477,-7.2963767,-6.3838115,4.4950366,-9.456501,-10.881936,3.4382968,-2.1121156,-0.36016363,7.9284663,-7.5512,-10.434579,-6.6599393,-6.069662,-6.298819,2.6409588,4.25598,3.4912174,-4.559122,-9.349508,-12.769694,-8.068345,-15.113521,-11.411615,12.387766,-8.594569,-12.912307,6.586609,6.0608487,-11.988705,-11.569375,-0.6872041,-12.7794,1.1045077,-8.467401,4.4366903,-11.060068,-11.228814,-5.660438,-5.5865846,-2.9702852,-13.236277,-16.18753,-7.98813,-7.280577,-11.009702,5.0430846,-5.3897214,1.0668086,4.272219,-9.785602,-4.1278048,4.849256,3.739537,5.8323064,3.9861073,-9.043264,3.7945008,6.7743883,-12.371083,-2.5566907,-4.6677628,-8.482253,-15.432268,-11.070994,-3.505252,-8.871226,-11.471714,5.5398912,-6.1440883,-11.444391,-0.9788102,-1.6701089,-5.511029,-2.234925,7.340449,-6.0655656,-4.2670307,-7.2887726,5.041262
9,-0.7414962,-4.220749,12.254244,1.0265126,12.792583,4.208304,10.977854,12.928139,-5.7441125,-9.340679,-4.1575413,-2.8301935,6.7182045,4.5248156,-0.21735491,-11.524346,-10.490016,-11.577091,-7.4534945,0.9437224,2.6395295,1.536635,2.0786393,1.6453966,6.943122,2.3100142,-4.307553,-7.047502,12.707252,-10.483211,-4.284803,-7.003353,-10.495694,-4.9108834,-9.434692,-11.937349,8.651157,5.6112037,11.714695,-9.095461,5.3541117,-6.152028,4.2604814,-3.0076535,2.5612183,6.8884783,-5.8514757,2.3940282,-1.1209795,-7.558809,-6.2137513,4.5219784,-9.273525,-11.050868,2.013741,-2.231471,0.0005444571,6.3270183,-7.6702776,-9.882255,-6.3321066,-5.126748,-6.728815,2.239413,3.49573,3.4122741,-5.756645,-9.374543,-12.704086,-7.830888,-13.743497,-10.853476,11.871204,-9.037323,-12.080858,6.2092195,5.507398,-11.787027,-12.309506,-0.47012457,-12.414394,0.89666146,-7.587992,3.9907649,-11.054031,-11.399176,-6.507572,-6.03227,-3.635697,-11.598382,-15.664292,-7.1073565,-6.6637425,-11.120331,5.225374,-4.8303847,2.0416763,3.4681718,-9.320153,-4.652627,5.411848,3.454806,5.407889,3.434284,-9.51814,3.3639543,6.9467053,-11.3108015,-2.8665497,-5.284994,-8.341816,-13.589137,-10.717453,-2.9703858,-9.506434,-11.3601,5.2043037,-5.935074,-11.159662,-1.6403766,-1.2504406,-5.3986764,-3.1400135,7.2321496,-6.635218,-5.2203617,-6.877117,4.6664677
