,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.6852156,-0.53753823,-0.38374773,-0.9134566,-0.38200548,-0.6078216,-1.1372905,-0.20034479,-0.913063,0.05099534,-0.2612404,-0.2601787,-0.04633099,-0.41920173,-0.21723838,0.31698757,1.5017145,-0.22764848,2.6246808,-1.8863227,-0.8741595,-1.1040878,-0.48940757,0.48235753,-0.46338433,-0.36513975,-0.072346844,2.8924124,-0.15066181,0.5789317,-0.44894415,-1.3531117,-0.8730762,-0.871179,1.111287,-0.8212694,-0.6430987,-0.58123946,-0.30934834,-0.7097671,-0.6200466,-0.76804876,-1.2477562,-0.14326549,1.1801031,-0.92107105,-0.84475595,-0.9623997,-0.22872552,-1.2447321,1.8272345,-0.5866364,2.0189743,1.0880653,-0.5082263,-0.024897538,-0.81275827,-0.36533096,1.2172704,-0.5691422,1.8609642,-0.1943716,-0.28342023,-2.297616
1,1.5303406,-1.3037903,-1.6352236,-1.2972538,0.12632242,-0.27459535,-0.38238072,1.7053972,3.1051095,-0.39303672,2.9563007,-1.0464878,-1.1232114,-0.26556608,0.46384478,-1.2696756,0.38406911,-2.524077,1.377192,-1.4888638,0.8961439,-2.2759671,0.002940774,1.4432503,3.7579198,0.47574475,-0.49814326,1.7635031,-2.1899216,-1.4582531,3.1209016,0.43970725,0.47185606,1.4357091,1.0731742,-1.466371,0.53208625,-1.0952551,-0.33132586,-0.6594246,-1.4312496,2.3693902,1.2564846,2.7575648,-0.08840909,2.4455059,-1.4247032,-0.8543558,-0.31079307,0.1401288,2.2789938,-0.76878315,0.45271742,1.083351,0.030387312,-1.0629789,0.6237986,-0.9897556,1.4790113,0.64222205,2.019297,-0.9867954,0.28379884,-1.4310931
2,2.2994165,0.8051682,-0.24349916,-0.6551705,-0.37119874,-3.0381525,0.074491546,1.710516,4.801671,-1.37322,5.651637,-1.3201778,-1.4283324,-0.30024797,-0.07160391,-0.13351746,-0.9823642,-3.2028167,2.9445775,1.7484909,-2.962,-0.77553225,-0.71126974,0.09360165,5.1620383,-0.22355244,-1.409436,3.776008,-1.2459759,-0.87086457,4.437014,3.209858,2.6478598,4.0994983,1.7876401,-0.59210885,0.040226486,-3.4367216,-0.69410276,0.9478627,-0.14869857,5.5149326,6.490004,3.3736694,1.2150683,5.2271175,-1.691719,2.6595583,1.8604422,-2.36119,3.8335443,-3.025951,-1.151324,-0.28761798,-0.7236891,-2.1988802,-1.117216,-0.8523587,-1.1302959,2.5582924,3.1675723,-0.14606346,-0.93106806,1.4247973
3,2.0172834,-0.6273083,-1.9156481,-0.82817894,-0.012428131,0.0401451,-0.79657114,1.4834144,2.6820898,0.18753497,2.8014617,-0.52995473,-0.8940594,-1.1842765,0.98641616,-1.375576,0.7673,-1.9526216,1.6826696,-0.9027057,1.9057258,-1.3431444,0.0336363,0.50475705,2.1103292,-0.052822277,-0.5783217,2.794331,-1.7144446,-0.76772535,1.874092,-0.4056747,1.1935128,2.151867,1.1060756,-1.7606251,0.4825776,-1.5327368,-0.48378384,-0.6153773,-1.5174453,2.483425,0.44618207,2.585844,-0.109166466,2.2501872,-1.9442567,-1.0566505,0.05400838,0.5196834,2.0007746,-0.8750665,-0.3647012,1.1936618,-0.57715476,-0.7478172,-0.32625422,-1.923219,1.7866516,0.91022736,1.165692,-0.95280725,-0.1161317,-1.2717962
4,2.7617412,-0.36521125,-1.9384989,1.3335054,0.40567774,-0.372017,0.55810547,-0.07689979,1.0718758,-0.7332135,0.14177518,-0.6147959,2.063096,1.2376567,0.39036548,1.3920798,0.71795785,-0.7153096,0.51283795,-0.0457318,0.293015,0.85852176,-0.0028200448,0.5729671,0.85157365,1.4695563,-0.108471826,0.8103502,-0.4430549,-0.595195,0.18208258,1.1877728,-0.6766287,-0.47690132,0.6377347,0.4714831,-0.37330738,-0.5545807,1.228915,0.8592887,0.08645001,0.13901667,-1.4179074,1.65608,-0.14264113,0.25018108,1.1639016,1.5836942,-0.47364196,-0.34967202,1.4889572,0.8016424,-0.5152748,0.1606861,-0.3519119,0.11295747,0.25879687,0.093034305,-0.5372054,0.09538037,0.3006935,1.7376461,0.24998717,-0.008665914
5,0.61240894,1.9404433,1.0249181,2.0619268,-0.5761742,-0.59395534,-1.264495,-1.2364502,-0.9960664,-1.1329141,-2.0394602,0.705323,0.27344322,-0.78150696,-3.0552273,5.0414753,-0.13379334,0.077588454,-2.2905135,-1.0474738,-3.1485116,5.367292,-2.6597383,0.5083988,0.36260337,-1.3897542,2.7720637,-2.5546274,1.358557,0.19086455,-0.3016057,-0.70353985,1.8010114,-0.7169783,-3.1682065,0.5846659,-4.0631595,0.24515907,-0.7014538,2.425523,0.32239968,-1.4921663,1.5565344,1.0838552,-0.5156,-2.7512162,0.5544065,4.8773494,-1.0729682,-2.5026422,-3.2285998,-1.3557261,-0.27234244,-3.1439545,-0.4651512,-1.8759729,-2.4353004,-0.62105995,-2.1778526,2.4203582,0.93198663,-0.59445375,-3.3562574,1.4070693
6,1.6972417,-0.6879856,-1.9472696,-1.4817232,0.64929104,0.53391445,-0.45876378,2.9180248,2.050585,0.08235042,2.4204915,-0.86927366,-0.1275701,0.095373735,-0.6768503,-2.6439183,0.46671098,-3.3557897,2.250442,-0.5529505,1.4406554,-1.7286766,-0.43233466,0.787674,3.7229161,0.04937473,-1.2846137,1.3217052,-1.5615937,-1.645795,1.6862028,0.057551235,-0.73251444,0.23642871,1.7390621,-0.7934856,0.724553,-2.5617917,-1.1042154,-0.9391744,0.38065588,3.1188705,0.7604119,2.1726973,-0.7966497,2.5072386,-1.3281819,-1.3558195,0.36812103,-0.09004172,3.6901734,-1.9115366,-1.1057856,2.105505,0.43653825,-1.7073051,-1.7065554,-0.7771042,0.8147842,1.2276101,3.0219562,-0.6421573,-0.96794254,-1.4261949
7,-2.4671042,0.7200704,2.4751983,-0.25654465,-0.10062018,-0.8230256,-0.574998,-3.2487185,-1.3487444,3.8310006,-1.1187216,2.926268,-1.4855946,-2.9277692,-1.1555847,-1.1742153,-1.027435,2.3373876,0.5874101,3.8250191,-1.5449367,2.689332,-0.84716237,-2.5172708,-2.9846597,-1.307253,-0.43576393,-2.579792,-0.17087902,1.7132626,-3.5056703,-1.073334,1.9488965,5.295601,0.6525475,-0.5033098,-1.1492457,-0.16087107,0.28331575,0.73822796,-0.44916803,-1.5424526,-0.25427264,-2.333901,1.6335455,0.92002535,-0.21772583,1.4427377,1.0803946,-1.4021932,-1.6882195,-0.22793996,3.4285312,-3.3813765,-1.3632005,-1.2341602,0.3251298,1.6910598,-1.503756,1.6099466,-2.6904068,-0.32595718,2.322667,4.197354
8,1.5430868,-0.19631216,-0.6384491,-0.19762123,2.0392048,-0.6404157,-0.92512983,1.1147937,2.2141318,-0.049570974,2.474881,-0.5369893,-1.108426,0.26287866,-0.043475702,0.05125915,1.1542319,-0.6580722,0.26906514,-1.4281186,0.82575285,-0.6190562,0.04061897,0.78367,0.35848373,-0.5555264,0.80577356,0.9646851,-0.83687365,-1.6125976,0.2108846,1.1290137,0.14221174,1.1960528,1.8669106,-0.7572746,-1.4468826,-2.023007,-0.099804215,0.43276244,0.1529959,1.0276933,0.19880864,0.7768431,1.3302505,1.8806758,-0.6144042,-0.6802796,0.5120689,0.2744826,1.8402872,-0.6145762,0.65404826,1.6816292,-1.0716691,-0.30723852,0.6929804,-0.33242482,-0.18107542,0.9210393,1.6684011,1.4445968,0.55122817,-0.80253816
9,1.9244198,0.0836009,-1.7122802,1.5107837,-0.5720021,0.5408588,0.34228623,0.60433537,-0.32167295,-1.0117767,1.0496492,-1.2231168,1.5992043,1.1096811,-0.12818177,1.4572281,-0.10949662,-0.31785855,0.0841156,-1.1353858,0.032724503,-0.64079773,1.2881442,0.41540545,-0.12815332,1.0970758,-0.1190253,-0.7928408,-1.6200035,0.5276773,0.924559,1.7405741,-1.5945263,-1.4801013,0.60540754,-0.21341729,1.1749556,-0.08632986,0.87032783,0.09062432,0.93469906,-0.27715883,-2.3500886,0.40396076,-1.1185169,-0.47810602,0.5332835,0.9999367,-1.4726446,-0.04966121,-0.87875915,1.7357543,-3.101625,1.8899776,0.3234502,-0.09005015,0.6651157,-0.9450384,0.9289914,-0.61459786,-0.59024966,0.32509476,-1.0660945,-2.0999563
